mc	mn	timesig	onset	staff	voice	label
1	0	3/4	0	1	1	.F.I{
2	1	3/4	1/4	1	1	I6
2	1	3/4	1/2	1	1	V7
3	2	3/4	0	1	1	vi(64)
3	2	3/4	1/4	1	1	vi
3	2	3/4	1/2	1	1	I6
4	3	3/4	0	1	1	ii65
4	3	3/4	1/4	1	1	ii7
4	3	3/4	1/2	1	1	ii65
5	4	3/4	0	1	1	V(64)}
5	4	3/4	1/4	1	1	V
5	4	3/4	1/2	1	1	I{
6	5	3/4	1/4	1	1	I6
6	5	3/4	1/2	1	1	V7
7	6	3/4	0	1	1	vi(64)
7	6	3/4	1/4	1	1	vi
7	6	3/4	1/2	1	1	ii6
7	6	3/4	5/8	1	1	viio64
8	7	3/4	0	1	1	I6
8	7	3/4	1/8	1	1	IV
8	7	3/4	1/4	1	1	V(64)
8	7	3/4	1/2	1	1	V
9	8	3/4	0	1	1	I}{
10	9	3/4	0	1	1	V43
10	9	3/4	1/2	1	1	V6
11	10	3/4	0	1	1	I
12	11	3/4	0	1	1	V43
12	11	3/4	1/2	1	1	V65
13	12	3/4	0	1	1	I
13	12	3/4	1/8	1	1	V43
13	12	3/4	1/4	1	1	I6
14	13	3/4	0	1	1	ii6
14	13	3/4	1/2	1	1	ii
15	14	3/4	0	1	1	V(64)}
15	14	3/4	1/4	1	1	V
16	15	3/4	0	1	1	V.I{
16	15	3/4	3/8	1	1	V43
16	15	3/4	1/2	1	1	I6
16	15	3/4	5/8	1	1	I
17	16	3/4	0	1	1	ii-viio6
17	16	3/4	1/4	1	1	viio
17	16	3/4	3/8	1	1	IV6
17	16	3/4	1/2	1	1	V7
17	16	3/4	5/8	1	1	V2
18	17	3/4	0	1	1	I6
18	17	3/4	3/8	1	1	V2
18	17	3/4	1/2	1	1	I6
18	17	3/4	5/8	1	1	I
19	18	3/4	0	1	1	V43
19	18	3/4	3/8	1	1	V65
19	18	3/4	1/2	1	1	V7
19	18	3/4	5/8	1	1	V2
20	19	3/4	0	1	1	I6
20	19	3/4	1/4	1	1	ii65
20	19	3/4	1/2	1	1	I64
21	20	3/4	0	1	1	IV6
21	20	3/4	1/2	1	1	IV
21	20	3/4	5/8	1	1	IV6
21	20	3/4	11/16	1	1	vii%7
22	21	3/4	0	1	1	I
22	21	3/4	1/8	1	1	ii6
22	21	3/4	1/4	1	1	V(64)
22	21	3/4	1/2	1	1	V
23	22	3/4	0	1	1	I}{
23	22	3/4	1/4	1	1	vi6
23	22	3/4	7/16	1	1	V6
23	22	3/4	1/2	1	1	IV6
23	22	3/4	11/16	1	1	iii6
24	23	3/4	0	1	1	ii6
24	23	3/4	5/16	1	1	V6/ii
24	23	3/4	3/8	1	1	ii
24	23	3/4	7/16	1	1	V6/IV
24	23	3/4	1/2	1	1	IV
24	23	3/4	9/16	1	1	viio6
24	23	3/4	5/8	1	1	I6
24	23	3/4	11/16	1	1	V6
25	24	3/4	0	1	1	I
25	24	3/4	1/8	1	1	ii6
25	24	3/4	1/4	1	1	V(64)
25	24	3/4	1/2	1	1	V
26	25	3/4	0	1	1	I}{
26	25	3/4	1/4	1	1	vi6
26	25	3/4	7/16	1	1	V6
26	25	3/4	1/2	1	1	IV6
26	25	3/4	11/16	1	1	iii6
27	26	3/4	0	1	1	ii6
28	27	3/4	0	1	1	V[V(64)
29	28	3/4	1/16	1	1	viio2/V
29	28	3/4	1/8	1	1	V7
29	28	3/4	3/16	1	1	V(64)
29	28	3/4	1/4	1	1	V(4)
29	28	3/4	1/2	1	1	V7]
30	29	3/4	0	1	1	I[I}{
30	29	3/4	1/8	1	1	V7/IV
30	29	3/4	1/4	1	1	IV6
30	29	3/4	1/2	1	1	viio6
31	30	3/4	0	1	1	I
31	30	3/4	1/8	1	1	V7/IV
31	30	3/4	1/4	1	1	IV6
31	30	3/4	1/2	1	1	V43]
32	31	3/4	0	1	1	I(974)}
32	31	3/4	1/4	1	1	I
33	31	3/4	0	1	1	I6{
34	32	3/4	0	1	1	I
35	33	3/4	0	1	1	ii6
36	34	3/4	0	1	1	V(64)
36	34	3/4	1/2	1	1	V7
37	35	3/4	0	1	1	I6
38	36	3/4	0	1	1	ii6
38	36	3/4	1/4	1	1	V(64)
38	36	3/4	1/2	1	1	V7
39	37	3/4	0	1	1	i}{
40	38	3/4	0	1	1	vi.V7(11)/iv
40	38	3/4	1/8	1	1	V7/iv
41	39	3/4	0	1	1	iv(119)
41	39	3/4	1/8	1	1	iv
42	40	3/4	0	1	1	V7(11)
42	40	3/4	1/8	1	1	V7
43	41	3/4	0	1	1	VI(1311)
43	41	3/4	1/8	1	1	VI
44	42	3/4	0	1	1	.Ger6(2)
44	42	3/4	1/8	1	1	.Ger6
45	43	3/4	0	1	1	V}{
45	43	3/4	1/2	1	1	i
46	44	3/4	0	1	1	iv(9)
46	44	3/4	1/4	1	1	iv
46	44	3/4	1/2	1	1	V7/III
47	45	3/4	0	1	1	III(9)
47	45	3/4	1/4	1	1	III
47	45	3/4	1/2	1	1	i
48	46	3/4	0	1	1	V65/VII
48	46	3/4	1/2	1	1	#viio
49	47	3/4	0	1	1	i(9)
49	47	3/4	1/4	1	1	i
49	47	3/4	1/2	1	1	I.V7/V
50	48	3/4	0	1	1	v(9)
50	48	3/4	1/4	1	1	v
50	48	3/4	1/2	1	1	viio/IV
51	49	3/4	0	1	1	V65/ii
51	49	3/4	1/2	1	1	ii
52	50	3/4	0	1	1	V65
52	50	3/4	1/8	1	1	I
52	50	3/4	1/4	1	1	ii6
52	50	3/4	5/8	1	1	vii%7/V
53	51	3/4	0	1	1	V(64)}
53	51	3/4	1/8	1	1	V
53	51	3/4	1/2	1	1	viio7/V
54	52	3/4	0	1	1	V(b64)
54	52	3/4	1/8	1	1	V
54	52	3/4	1/2	1	1	.It6
55	53	3/4	0	1	1	V(#74)
55	53	3/4	1/4	1	1	V
55	53	3/4	1/2	1	1	I{
56	54	3/4	1/4	1	1	I6
56	54	3/4	1/2	1	1	V7
57	55	3/4	0	1	1	vi(64)
57	55	3/4	1/4	1	1	vi
57	55	3/4	1/2	1	1	I6
58	56	3/4	0	1	1	ii65
58	56	3/4	1/4	1	1	ii7
58	56	3/4	1/2	1	1	ii65
59	57	3/4	0	1	1	V(64)}
59	57	3/4	1/4	1	1	V
59	57	3/4	1/2	1	1	I{
60	58	3/4	1/4	1	1	I6
60	58	3/4	1/2	1	1	V7
61	59	3/4	0	1	1	vi(64)
61	59	3/4	1/4	1	1	vi
61	59	3/4	1/2	1	1	ii6
61	59	3/4	5/8	1	1	viio64
62	60	3/4	0	1	1	I6
62	60	3/4	1/8	1	1	IV
62	60	3/4	1/4	1	1	V(64)
62	60	3/4	1/2	1	1	V
63	61	3/4	0	1	1	I}{
64	62	3/4	0	1	1	V2/IV
65	63	3/4	0	1	1	IV6
66	64	3/4	0	1	1	V2/ii
67	65	3/4	0	1	1	ii6
69	67	3/4	0	1	1	V(64)}
69	67	3/4	1/4	1	1	V
70	68	3/4	0	1	1	I{
70	68	3/4	3/8	1	1	V43
70	68	3/4	1/2	1	1	I6
70	68	3/4	5/8	1	1	I
71	69	3/4	0	1	1	ii-viio6
71	69	3/4	1/4	1	1	viio
71	69	3/4	3/8	1	1	IV6
71	69	3/4	1/2	1	1	V7
71	69	3/4	5/8	1	1	V2
72	70	3/4	0	1	1	I6
72	70	3/4	3/8	1	1	V2/IV
72	70	3/4	1/2	1	1	IV6
72	70	3/4	5/8	1	1	IV
73	71	3/4	0	1	1	V43/IV
73	71	3/4	3/8	1	1	V65/IV
73	71	3/4	1/2	1	1	V7/IV
73	71	3/4	5/8	1	1	V2/IV
74	72	3/4	0	1	1	IV6
74	72	3/4	1/2	1	1	I64
75	73	3/4	0	1	1	ii65
75	73	3/4	1/2	1	1	I64
76	74	3/4	0	1	1	IV6
76	74	3/4	1/2	1	1	I64
77	75	3/4	0	1	1	ii65
77	75	3/4	1/4	1	1	IV6
77	75	3/4	1/2	1	1	IV
77	75	3/4	5/8	1	1	IV6
77	75	3/4	11/16	1	1	vii%7
78	76	3/4	0	1	1	I
78	76	3/4	1/8	1	1	ii6
78	76	3/4	1/4	1	1	V(64)
78	76	3/4	1/2	1	1	V
79	77	3/4	0	1	1	I}{
79	77	3/4	1/4	1	1	vi6
79	77	3/4	7/16	1	1	V6
79	77	3/4	1/2	1	1	IV6
79	77	3/4	11/16	1	1	iii6
80	78	3/4	0	1	1	ii6
80	78	3/4	5/16	1	1	#viio7/ii
80	78	3/4	3/8	1	1	ii
80	78	3/4	7/16	1	1	viio43/V
80	78	3/4	1/2	1	1	V6
80	78	3/4	9/16	1	1	V7/vi
80	78	3/4	5/8	1	1	IV
80	78	3/4	11/16	1	1	viio6
81	79	3/4	0	1	1	I6
81	79	3/4	1/8	1	1	ii6
81	79	3/4	1/4	1	1	V(64)
81	79	3/4	1/2	1	1	V
82	80	3/4	0	1	1	I}{
82	80	3/4	1/4	1	1	vi6
82	80	3/4	7/16	1	1	V6
82	80	3/4	1/2	1	1	IV6
82	80	3/4	11/16	1	1	iii6
83	81	3/4	0	1	1	ii6
84	82	3/4	0	1	1	V(64)
85	83	3/4	0	1	1	viio7/V
85	83	3/4	1/4	1	1	V7(4)
85	83	3/4	1/2	1	1	V7
86	84	3/4	0	1	1	I[I}{
86	84	3/4	1/8	1	1	V7/IV
86	84	3/4	1/4	1	1	IV6
86	84	3/4	1/2	1	1	viio6
87	85	3/4	0	1	1	I
87	85	3/4	1/8	1	1	V7/IV
87	85	3/4	1/4	1	1	IV6
87	85	3/4	1/2	1	1	viio6
88	86	3/4	0	1	1	I(974)}
88	86	3/4	1/2	1	1	I]
