filename	cadences_id	mc	mn	timesig	onset	staff	voice	cadence
K279-1	0	3	3	4/4	0	1	1	PAC
K279-1	1	5	5	4/4	0	1	1	PAC
K279-1	2	10	10	4/4	3/4	1	1	DC
K279-1	3	12	12	4/4	1/2	1	1	PAC
K279-1	4	16	16	4/4	1/8	1	1	HC
K279-1	5	24	24	4/4	0	1	1	HC
K279-1	6	31	31	4/4	0	1	1	PAC
K279-1	7	33	33	4/4	0	1	1	PAC
K279-1	8	35	35	4/4	0	1	1	PAC
K279-1	9	37	37	4/4	1/2	1	1	IAC
K279-1	10	51	51	4/4	1/2	1	1	HC
K279-1	11	60	60	4/4	0	1	1	PAC
K279-1	12	62	62	4/4	0	1	1	PAC
K279-1	13	67	67	4/4	1/2	1	1	HC
K279-1	14	78	78	4/4	1/2	1	1	HC
K279-1	15	86	86	4/4	1/8	1	1	HC
K279-1	16	92	92	4/4	0	1	1	PAC
K279-1	17	94	94	4/4	0	1	1	PAC
K279-1	18	96	96	4/4	0	1	1	PAC
K279-1	19	98	98	4/4	1/2	1	1	IAC
K279-2	0	5	4	3/4	0	1	1	EC
K279-2	1	7	6	3/4	1/4	1	1	PAC
K279-2	2	11	10	3/4	0	1	1	HC
K279-2	3	18	17	3/4	0	1	1	EC
K279-2	4	22	21	3/4	0	1	1	EC
K279-2	5	27	26	3/4	0	1	1	PAC
K279-2	6	28	27	3/4	0	1	1	PAC
K279-2	7	29	28	3/4	1/2	1	1	PAC
K279-2	8	34	32	3/4	1/4	1	1	HC
K279-2	9	37	35	3/4	0	1	1	EC
K279-2	10	39	37	3/4	0	1	1	EC
K279-2	11	43	41	3/4	1/2	1	1	HC
K279-2	12	48	46	3/4	0	1	1	EC
K279-2	13	52	50	3/4	0	1	1	HC
K279-2	14	59	57	3/4	0	1	1	EC
K279-2	15	63	61	3/4	0	1	1	EC
K279-2	16	70	68	3/4	0	1	1	PAC
K279-2	17	74	72	3/4	0	1	1	PAC
K279-2	18	75	73	3/4	0	1	1	PAC
K279-2	19	76	74	3/4	1/2	1	1	PAC
K279-3	0	5	4	2/4	0	1	1	HC
K279-3	1	11	10	2/4	0	1	1	PAC
K279-3	2	19	18	2/4	0	1	1	HC
K279-3	3	21	20	2/4	0	1	1	HC
K279-3	4	23	22	2/4	0	1	1	HC
K279-3	5	31	30	2/4	0	1	1	HC
K279-3	6	35	34	2/4	0	1	1	DC
K279-3	7	39	38	2/4	0	1	1	PAC
K279-3	8	47	46	2/4	0	1	1	PAC
K279-3	9	51	50	2/4	0	1	1	PAC
K279-3	10	55	54	2/4	0	1	1	PAC
K279-3	11	72	70	2/4	0	1	1	HC
K279-3	12	74	72	2/4	0	1	1	HC
K279-3	13	92	90	2/4	0	1	1	HC
K279-3	14	98	96	2/4	0	1	1	PAC
K279-3	15	106	104	2/4	0	1	1	HC
K279-3	16	108	106	2/4	0	1	1	HC
K279-3	17	110	108	2/4	0	1	1	HC
K279-3	18	118	116	2/4	0	1	1	HC
K279-3	19	122	120	2/4	0	1	1	DC
K279-3	20	126	124	2/4	0	1	1	PAC
K279-3	21	134	132	2/4	0	1	1	EC
K279-3	22	149	147	2/4	0	1	1	PAC
K279-3	23	153	151	2/4	0	1	1	PAC
K279-3	24	157	155	2/4	0	1	1	PAC
K280-1	0	10	10	3/4	0	1	1	EC
K280-1	1	13	13	3/4	0	1	1	PAC
K280-1	2	26	26	3/4	1/4	1	1	HC
K280-1	3	43	43	3/4	0	1	1	PAC
K280-1	4	48	48	3/4	0	1	1	PAC
K280-1	5	54	54	3/4	0	1	1	PAC
K280-1	6	78	78	3/4	0	1	1	HC
K280-1	7	92	92	3/4	0	1	1	EC
K280-1	8	95	95	3/4	0	1	1	PAC
K280-1	9	108	108	3/4	1/4	1	1	HC
K280-1	10	131	131	3/4	0	1	1	PAC
K280-1	11	136	136	3/4	0	1	1	PAC
K280-1	12	142	142	3/4	0	1	1	PAC
K280-2	0	8	8	6/8	3/8	1	1	PAC
K280-2	1	12	12	6/8	3/8	1	1	HC
K280-2	2	19	19	6/8	0	1	1	DC
K280-2	3	21	21	6/8	0	1	1	PAC
K280-2	4	22	22	6/8	3/8	1	1	PAC
K280-2	5	24	24	6/8	3/8	1	1	PAC
K280-2	6	32	32	6/8	0	1	1	HC
K280-2	7	42	42	6/8	3/8	1	1	PAC
K280-2	8	46	46	6/8	3/8	1	1	HC
K280-2	9	53	53	6/8	0	1	1	EC
K280-2	10	55	55	6/8	0	1	1	DC
K280-2	11	57	57	6/8	0	1	1	PAC
K280-2	12	58	58	6/8	3/8	1	1	PAC
K280-2	13	60	60	6/8	3/8	1	1	PAC
K280-3	0	9	8	3/8	0	1	1	HC
K280-3	1	17	16	3/8	0	1	1	PAC
K280-3	2	33	32	3/8	0	1	1	HC
K280-3	3	50	49	3/8	1/4	1	1	HC
K280-3	4	63	62	3/8	0	1	1	PAC
K280-3	5	67	66	3/8	0	1	1	PAC
K280-3	6	73	72	3/8	0	1	1	PAC
K280-3	7	87	85	3/8	0	1	1	PAC
K280-3	8	105	103	3/8	0	1	1	HC
K280-3	9	117	115	3/8	0	1	1	HC
K280-3	10	125	123	3/8	0	1	1	PAC
K280-3	11	145	143	3/8	0	1	1	HC
K280-3	12	162	160	3/8	1/4	1	1	HC
K280-3	13	175	173	3/8	0	1	1	PAC
K280-3	14	179	177	3/8	0	1	1	PAC
K280-3	15	185	183	3/8	0	1	1	PAC
K281-1	0	4	4	2/4	1/8	1	1	IAC
K281-1	1	8	8	2/4	0	1	1	PAC
K281-1	2	16	16	2/4	0	1	1	HC
K281-1	3	30	30	2/4	0	1	1	PAC
K281-1	4	34	34	2/4	0	1	1	EC
K281-1	5	36	36	2/4	0	1	1	EC
K281-1	6	38	38	2/4	0	1	1	PAC
K281-1	7	48	48	2/4	0	1	1	PAC
K281-1	8	59	59	2/4	0	1	1	IAC
K281-1	9	61	61	2/4	0	1	1	PAC
K281-1	10	68	68	2/4	0	1	1	HC
K281-1	11	73	73	2/4	1/8	1	1	IAC
K281-1	12	77	77	2/4	0	1	1	PAC
K281-1	13	85	85	2/4	0	1	1	HC
